課次	類型	國字或詞	注音	例句
第五課 小種子快長大	生字	種	ㄓㄨㄥˋ	我【種】下小種子。
第五課 小種子快長大	生字	問	ㄨㄣˋ	我【問】媽媽：
第五課 小種子快長大	生字	怎	ㄗㄣˇ	我要【怎】麼做，
第五課 小種子快長大	生字	做	ㄗㄨㄛˋ	我要怎麼【做】，
第五課 小種子快長大	生字	它	ㄊㄚ	【它】才會長大？
第五課 小種子快長大	生字	才	ㄘㄞˊ	它【才】會長大？
第五課 小種子快長大	生字	需	ㄒㄩ	它【需】要水。
第五課 小種子快長大	生字	於	ㄩˊ	【於】是，我們一起澆水。
第五課 小種子快長大	生字	澆	ㄐㄧㄠ	我們一起【澆】水。
第五課 小種子快長大	生字	陽	ㄧㄤˊ	它需要【陽】光。
第五課 小種子快長大	生字	光	ㄍㄨㄤ	它需要陽【光】。
第五課 小種子快長大	生字	放	ㄈㄤˋ	一起把它【放】到院子裡。
第五課 小種子快長大	生字	院	ㄩㄢˋ	把它放到【院】子裡。
第五課 小種子快長大	生字	公	ㄍㄨㄥ	我問外【公】：
第五課 小種子快長大	生字	話	ㄏㄨㄚˋ	陪它說說【話】。
第五課 小種子快長大	生字	伴	ㄅㄢˋ	有了大家的陪【伴】，
第六課 奶奶的小跟班	生字	奶	ㄋㄞˇ	【奶】奶起床，
第六課 奶奶的小跟班	生字	跟	ㄍㄣ	奶奶的小【跟】班。
第六課 奶奶的小跟班	生字	班	ㄅㄢ	真是奶奶的小跟【班】。
第六課 奶奶的小跟班	生字	床	ㄔㄨㄤˊ	奶奶起【床】，
第六課 奶奶的小跟班	生字	弟	ㄉㄧˋ	【弟】弟也起床。
第六課 奶奶的小跟班	生字	她	ㄊㄚ	陪著【她】一起澆水。
第六課 奶奶的小跟班	生字	酒	ㄐㄧㄡˇ	也跟著玩家家【酒】。
第六課 奶奶的小跟班	生字	拿	ㄋㄚˊ	【拿】出卡片給奶奶，
第六課 奶奶的小跟班	生字	卡	ㄎㄚˇ	拿出【卡】片給奶奶，
第六課 奶奶的小跟班	生字	片	ㄆㄧㄢˋ	收到一張生日卡【片】，
第六課 奶奶的小跟班	生字	給	ㄍㄟˇ	拿出卡片【給】奶奶，
第六課 奶奶的小跟班	生字	寫	ㄒㄧㄝˇ	上頭【寫】著：
第六課 奶奶的小跟班	生字	喜	ㄒㄧˇ	我【喜】歡和您在一起。
第六課 奶奶的小跟班	生字	歡	ㄏㄨㄢ	我喜【歡】和您在一起。
第六課 奶奶的小跟班	生字	您	ㄋㄧㄣ	我喜歡和【您】在一起。
第六課 奶奶的小跟班	生字	都	ㄉㄡ	弟弟天天【都】跟著奶奶，
第七課 作夢的雲	生字	作	ㄗㄨㄛˋ	【作】夢的雲
第七課 作夢的雲	生字	夢	ㄇㄥˋ	作【夢】的雲
第七課 作夢的雲	生字	躺	ㄊㄤˇ	【躺】在山頭上作夢，
第七課 作夢的雲	生字	自	ㄗˋ	【自】己變成棉花糖。
第七課 作夢的雲	生字	己	ㄐㄧˇ	夢到自【己】變成棉花糖。
第七課 作夢的雲	生字	變	ㄅㄧㄢˋ	夢到自己【變】成棉花糖。
第七課 作夢的雲	生字	成	ㄔㄥˊ	變【成】棉花糖。
第七課 作夢的雲	生字	棉	ㄇㄧㄢˊ	【棉】花糖。
第七課 作夢的雲	生字	糖	ㄊㄤˊ	棉【糖】。
第七課 作夢的雲	生字	黑	ㄏㄟ	一朵【黑】雲
第七課 作夢的雲	生字	鵝	ㄜˊ	變成黑天【鵝】。
第七課 作夢的雲	生字	得	ㄉㄜ˙	把天空變【得】更漂亮，
第七課 作夢的雲	生字	更	ㄍㄥˋ	變得【更】漂亮，
第七課 作夢的雲	生字	漂	ㄆㄧㄠˋ	變得更【漂】亮，
第七課 作夢的雲	生字	亮	ㄌㄧㄤˋ	變得更漂【亮】，
第八課 妹妹的紅雨鞋	生字	妹	ㄇㄟˋ	【妹】妹有一雙新的紅雨鞋。
第八課 妹妹的紅雨鞋	生字	雨	ㄩˇ	紅【雨】鞋，
第八課 妹妹的紅雨鞋	生字	雙	ㄕㄨㄤ	有一【雙】新的紅雨鞋。
第八課 妹妹的紅雨鞋	生字	穿	ㄔㄨㄢ	妹妹喜歡【穿】上紅雨鞋，
第八課 妹妹的紅雨鞋	生字	滴	ㄉㄧ	和【滴】雨滴玩遊戲。
第八課 妹妹的紅雨鞋	生字	遊	ㄧㄡˊ	玩【遊】戲。
第八課 妹妹的紅雨鞋	生字	戲	ㄒㄧˋ	玩遊【戲】。
第八課 妹妹的紅雨鞋	生字	顆	ㄎㄜ	一【顆】顆的小珍珠，
第八課 妹妹的紅雨鞋	生字	珍	ㄓㄣ	小【珍】珠，
第八課 妹妹的紅雨鞋	生字	珠	ㄓㄨ	小珍【珠】，
第八課 妹妹的紅雨鞋	生字	落	ㄌㄨㄛˋ	雨滴一【落】下，
第八課 妹妹的紅雨鞋	生字	面	ㄇㄧㄢˋ	水【面】就開出一朵朵的小水花。
第八課 妹妹的紅雨鞋	生字	魚	ㄩˊ	像一個大【魚】缸。
第八課 妹妹的紅雨鞋	生字	缸	ㄍㄤ	大魚【缸】。
第八課 妹妹的紅雨鞋	生字	金	ㄐㄧㄣ	紅【金】魚，
第八課 妹妹的紅雨鞋	生字	游	ㄧㄡˊ	在魚缸裡【游】過來、游過去。
第九課 七彩的虹	生字	彩	ㄘㄞˇ	七【彩】的虹
第九課 七彩的虹	生字	虹	ㄏㄨㄥˊ	七彩的【虹】
第九課 七彩的虹	生字	太	ㄊㄞˋ	【太】陽國王說要大掃除，
第九課 七彩的虹	生字	國	ㄍㄨㄛˊ	太陽【國】王說要大掃除，
第九課 七彩的虹	生字	掃	ㄙㄠˇ	要大【掃】除，
第九課 七彩的虹	生字	除	ㄔㄨˊ	要大掃【除】，
第九課 七彩的虹	生字	洗	ㄒㄧˇ	【洗】淨大大小小的馬路，
第九課 七彩的虹	生字	淨	ㄐㄧㄥˋ	洗【淨】大大小小的馬路，
第九課 七彩的虹	生字	馬	ㄇㄚˇ	洗淨大大小小的【馬】路，
第九課 七彩的虹	生字	低	ㄉㄧ	高高低【低】的山頭。
第九課 七彩的虹	生字	刷	ㄕㄨㄚ	【刷】亮天空的雲朵，
第九課 七彩的虹	生字	樹	ㄕㄨˋ	大【樹】的葉子。
第九課 七彩的虹	生字	葉	ㄧㄝˋ	大樹的【葉】子。
第九課 七彩的虹	生字	很	ㄏㄣˇ	掃得【很】認真，
第九課 七彩的虹	生字	認	ㄖㄣˋ	掃得很【認】真，
第九課 七彩的虹	生字	送	ㄙㄨㄥˋ	就【送】他們七彩的虹。
第十課 和你在一起	生字	地	ㄉㄧˋ	躺在草【地】看白雲，
第十課 和你在一起	生字	化	ㄏㄨㄚˋ	白雲變【化】好有趣。
第十課 和你在一起	生字	趣	ㄑㄩˋ	變化好有【趣】。
第十課 和你在一起	生字	線	ㄒㄧㄢˋ	拉著長【線】放風箏，
第十課 和你在一起	生字	風	ㄈㄥ	拉著長線放【風】箏，
第十課 和你在一起	生字	箏	ㄓㄥ	放風【箏】，
第十課 和你在一起	生字	升	ㄕㄥ	風箏【升】高好神奇。
第十課 和你在一起	生字	神	ㄕㄣˊ	風箏升高好【神】奇。
第十課 和你在一起	生字	奇	ㄑㄧˊ	好神【奇】。
第十課 和你在一起	生字	跑	ㄆㄠˇ	【跑】跑跳跳真快樂，
第十課 和你在一起	生字	跳	ㄊㄧㄠˋ	跑跑【跳】跳真快樂，
第十課 和你在一起	生字	笑	ㄒㄧㄠˋ	說說【笑】笑好歡喜。
第十課 和你在一起	生字	每	ㄇㄟˇ	【每】件事情都好玩，
第十課 和你在一起	生字	件	ㄐㄧㄢˋ	每【件】事情都好玩，
第十課 和你在一起	生字	事	ㄕˋ	每件【事】情都好玩，
第十課 和你在一起	生字	情	ㄑㄧㄥˊ	每天都有好心【情】。
第十一課 生日快樂	生字	生	ㄕㄥ	【生】日快樂
第十一課 生日快樂	生字	日	ㄖˋ	生【日】快樂
第十一課 生日快樂	生字	今	ㄐㄧㄣ	【今】天是我的生日，
第十一課 生日快樂	生字	記	ㄐㄧˋ	朋友會不會【記】得呢？
第十一課 生日快樂	生字	時	ㄕˊ	下課【時】，
第十一課 生日快樂	生字	知	ㄓ	你【知】道嗎？
第十一課 生日快樂	生字	道	ㄉㄠˋ	知【道】嗎？
第十一課 生日快樂	生字	嗎	ㄇㄚ˙	知道【嗎】？
第十一課 生日快樂	生字	學	ㄒㄩㄝˊ	放【學】時，
第十一課 生日快樂	生字	收	ㄕㄡ	【收】到一張生日卡片，
第十一課 生日快樂	生字	張	ㄓㄤ	收到一【張】生日卡片，
第十一課 生日快樂	生字	祝	ㄓㄨˋ	【祝】福
第十一課 生日快樂	生字	福	ㄈㄨˊ	祝【福】
第十一課 生日快樂	生字	第	ㄉㄧˋ	【第】一次收到生日卡片，
第十一課 生日快樂	生字	次	ㄘˋ	第一【次】收到生日卡片，
第十一課 生日快樂	生字	謝	ㄒㄧㄝˋ	【謝】謝你。
第十二課 小黑	生字	想	ㄒㄧㄤˇ	【想】和小黑比一比，
第十二課 小黑	生字	燈	ㄉㄥ	路【燈】起跑。
第十二課 小黑	生字	前	ㄑㄧㄢˊ	跑在我【前】面，
第十二課 小黑	生字	點	ㄉㄧㄢˇ	跑快一【點】，
第十二課 小黑	生字	半	ㄅㄢˋ	跑到一【半】，
第十二課 小黑	生字	清	ㄑㄧㄥ	變得不太【清】楚，
第十二課 小黑	生字	楚	ㄔㄨˇ	不太清【楚】，
第十二課 小黑	生字	停	ㄊㄧㄥˊ	【停】下來，
第十二課 小黑	生字	休	ㄒㄧㄡ	【休】息了一會兒，
第十二課 小黑	生字	息	ㄒㄧˊ	休【息】了一會兒，
第十二課 小黑	生字	兒	ㄦˊ	休息了一會【兒】，
第十二課 小黑	生字	吧	ㄅㄚ˙	的路燈【吧】！」
第十二課 小黑	生字	幫	ㄅㄤ	我【幫】小黑加油，
第十二課 小黑	生字	加	ㄐㄧㄚ	幫小黑【加】油，
第十二課 小黑	生字	油	ㄧㄡˊ	加油！
第十二課 小黑	生字	慢	ㄇㄢˋ	分不出誰快誰【慢】，
