課次	類型	中文	提示	英文
Unit21考試	單字	電視	/ˌtiˈvi/	TV
Unit21考試	單字	3	/θri/	three
Unit21考試	單字	瘦的	/θɪn/	thin
Unit21考試	單字	高的	/tɔl/	tall
Unit21考試	單字	星星	/stɑr/	star
Unit21考試	單字	湯	/sup/	soup
Unit21考試	單字	6	/sɪks/	six
Unit21考試	單字	短的	/ʃɔrt/	short
Unit21考試	單字	7	/ˈsɛvən/	seven
Unit21考試	單字	悲傷的	/sæd/	sad
Unit21考試	單字	尺	/ˈrulɚ/	ruler
Unit21考試	單字	鉛筆	/ˈpɛnsl/	pencil
Unit21考試	單字	母親	/ˈmʌðɚ/	mother
Unit21考試	單字	媽媽	/mɑm/	mom
Unit21考試	單字	牛奶	/mɪlk/	milk
Unit21考試	單字	白板筆	/ˈmɑrkɚ/	marker
Unit21考試	單字	妹妹	/ˈlɪtl ˈsɪstɚ/	little sister
Unit21考試	單字	弟弟	/ˈlɪtl ˈbrʌðɚ/	little brother
Unit21考試	單字	風箏	/kaɪt/	kite
Unit21考試	單字	肚子餓的	/ˈhʌŋgrɪ/	hungry
Unit21考試	單字	房子	/haʊs/	house
Unit21考試	單字	幫忙	/hɛlp/	help
Unit21考試	單字	心	/hɑrt/	heart
Unit21考試	單字	快樂的	/ˈhæpɪ/	happy
Unit21考試	單字	很好	/gret/	great
Unit21考試	單字	4	/for/	four
Unit21考試	單字	5	/faɪv/	five
Unit21考試	單字	父親	/ˈfɑðɚ/	father
Unit21考試	單字	胖的	/fæt/	fat
Unit21考試	單字	8	/et/	eight
Unit21考試	單字	門	/dor/	door
Unit21考試	單字	書桌	/dɛsk/	desk
Unit21考試	單字	跳舞	/dæns/	dance
Unit21考試	單字	時鐘	/klɑk/	clock
Unit21考試	單字	椅子	/tʃɛr/	chair
Unit21考試	單字	小蟲	/bʌg/	bug
Unit21考試	單字	頭腦	/bren/	brain
Unit21考試	單字	書	/bʊk/	book
Unit21考試	單字	藍色的	/blu/	blue
Unit21考試	單字	黑色的	/blæk/	black
Unit21考試	單字	腳踏車	/baɪk/	bike
Unit21考試	單字	姊姊	/bɪg ˈsɪstɚ/	big sister
Unit21考試	單字	哥哥	/bɪg ˈbrʌðɚ/	big brother
Unit21考試	單字	蜜蜂	/bi/	bee
Unit21考試	單字	香蕉	/bəˈnænə/	banana
Unit21考試	單字	球	/bɔl/	ball
Unit21考試	單字	蘋果	/ˈæpl/	apple
Unit21考試	單字	螞蟻	/ænt/	ant
